host_key,host_name,host_grid_id,rule_source_id,rule_venue_name,rule_state,distance_m,weight
hotel|7天连锁酒店|宝安区,7天连锁酒店,SZ500_0015_0074,PPR_014,沙井京基百纳广场,conditional_liminal_rule,367.77665849858494,0.17129509112218225
hotel|991男生青年旅舍|龙华区,991男生青年旅舍,SZ500_0055_0052,PPR_HILTON_007,Hampton by Hilton Shenzhen North Station,restrictive_rule,696.1861410431828,0.07717486088353835
hotel|99旅馆|南山区,99旅馆,SZ500_0036_0022,PPR_004,四海公园宠物乐园,explicit_open_rule,163.00237831295615,0.613313829394883
hotel|9号公寓|南山区,9号公寓,SZ500_0034_0032,PPR_HILTON_015,DoubleTree by Hilton Shenzhen Nanshan Hotel & Residences,restrictive_rule,447.32552453965855,0.16555323670674382
hotel|a+a青年公寓|宝安区,A+a青年公寓,SZ500_0013_0075,PPR_081,沙井京基百纳广场年度报告规则证据,conditional_liminal_rule,527.067238321894,0.12611899425898748
hotel|a+a青年公寓|宝安区,A+a青年公寓,SZ500_0013_0075,PPR_014,沙井京基百纳广场,conditional_liminal_rule,527.067238321894,0.09644393678628455
hotel|ab青年公寓|南山区,AB青年公寓,SZ500_0040_0034,PPR_HILTON_010,Hampton by Hilton Shenzhen Nanshan Science & Technology Park,restrictive_rule,362.52157621596086,0.22878193118112958
hotel|ab青年公寓|南山区,AB青年公寓,SZ500_0040_0034,PPR_057,深圳南山科技园希尔顿惠庭酒店,conditional_liminal_rule,170.781968064925,0.5615827823306218
hotel|allinspacehotel|福田区,ALLIN SPACE HOTEL,SZ500_0065_0032,PPR_069,The Ritz-Carlton Shenzhen,restrictive_rule,557.2047713187276,0.12137858074401964
hotel|allinspacehotel|福田区,ALLIN SPACE HOTEL,SZ500_0065_0032,PPR_021,深圳柏悦酒店,restrictive_rule,597.2341827329445,0.10753201294145612
hotel|ap汪勇恬然民宿|罗湖区,AP汪勇恬然民宿,SZ500_0076_0034,PPR_020,深圳君悦酒店一般酒店政策,restrictive_rule,759.2962797258043,0.06970371308885773
hotel|ap汪勇恬然民宿|罗湖区,AP汪勇恬然民宿,SZ500_0076_0034,PPR_019,深圳君悦酒店 Dogcation 宠物犬客房套餐,conditional_liminal_rule,759.2962797258043,0.06970371308885773
hotel|ap汪勇恬然民宿|罗湖区,AP汪勇恬然民宿,SZ500_0076_0034,PPR_101,南湖玛雅城右侧草地宠物友好活动空间,explicit_open_rule,645.9765434047193,0.09873612294794736
hotel|ap汪勇恬然民宿|罗湖区,AP汪勇恬然民宿,SZ500_0076_0034,PPR_HILTON_006,Hampton by Hilton Shenzhen Dongmen,restrictive_rule,600.7915999911578,0.10050065973943048
