outcome,treated_n,control_n_unique,treated_mean,matched_control_mean,mean_difference,bootstrap_ci_95_low,bootstrap_ci_95_high,paired_signflip_permutation_p_two_sided,bootstrap_reps,permutation_reps
suppression_index,549,198,0.6904225907577771,0.46429020004832133,0.22613239070945584,0.21672936002960552,0.23553958135845823,0.0,5000,5000
positive_rule_norm,549,198,0.0,0.0,0.0,0.0,0.0,1.0,5000,5000
rule_silence_norm,549,198,0.6679042008903746,0.5505406767826462,0.11736352410772838,0.0793786689495754,0.15688458489726323,0.0,5000,5000
has_positive_rule,549,198,0.025500910746812388,0.0273224043715847,-0.0018214936247723133,-0.020036429872495445,0.01639344262295082,1.0,5000,5000
primary_positive_rule_count,549,198,0.020036429872495445,0.029143897996357013,-0.009107468123861567,-0.051001821493624776,0.020036429872495445,0.8684,5000,5000
