ledger,rows,source_class_breakdown,publication_use_breakdown
rule_source_ledger_v1,132,"{'A_official_primary': 43, 'B_operator_primary': 41, 'C_reported_operator_detail': 19, 'E_discovery_or_context': 14, 'D_secondary_industry_media': 11, 'G_venue_identity_only': 3, 'F_external_context': 1}","{'main_model': 79, 'supplement_or_sensitivity': 30, 'discovery_only_until_verified': 14, 'main_model_with_caution': 5, 'candidate_queue_only_no_rule_claim': 3, 'context_only_exclude_from_shenzhen_model': 1}"
round_mining_evidence_ledger_v2,26,"{'B_operator_primary': 15, 'A_official_primary': 6, 'C_reported_operator_detail': 4, 'D_standard_context': 1}",{'not_promoted_pending_manual_review': 26}
