scenario,silent_agents,simulated_adopters,adoption_share,adopted_by_step,adopters_by_type,adopters_by_district_top10,rules_used,positive_rule_seeds,restrictive_rule_seeds,positive_by_type,restrictive_by_type
conservative_same_type,154188,2532,0.0164215114016655,"{0: 1, 1: 173, 2: 1276, 3: 527, 4: 555}","{'shopping_mall': 2519, 'restaurant': 13}","{'福田区': 1319, '南山区': 715, '宝安区': 498}",113,84,28,"{'park_or_recreation': 13, 'residential_property': 1, 'shopping_mall': 26, 'restaurant': 5, 'hotel': 9, 'unknown': 30}",{'hotel': 28}
balanced_threshold,154188,97859,0.6346732560251122,"{0: 1, 1: 12642, 2: 66886, 3: 12945, 4: 4084, 5: 1301}","{'shopping_mall': 13341, 'park_or_recreation': 2726, 'restaurant': 81780, 'hotel': 12}","{'宝安区': 24606, '龙岗区': 21220, '龙华区': 14656, '南山区': 11781, '福田区': 10938, '光明区': 5383, '罗湖区': 5330, '坪山区': 2814, '盐田区': 1131}",113,84,28,"{'park_or_recreation': 13, 'residential_property': 1, 'shopping_mall': 26, 'restaurant': 5, 'hotel': 9, 'unknown': 30}",{'hotel': 28}
permissive_tipping,154188,119187,0.7729978986691571,"{0: 1, 1: 16727, 2: 95508, 3: 5853, 4: 853, 5: 156, 6: 89}","{'shopping_mall': 13341, 'park_or_recreation': 3189, 'restaurant': 83878, 'hotel': 18778, 'residential_property': 1}","{'宝安区': 29857, '龙岗区': 26758, '龙华区': 17630, '南山区': 13760, '福田区': 12594, '光明区': 6764, '罗湖区': 6654, '坪山区': 3623, '盐田区': 1547}",113,84,28,"{'park_or_recreation': 13, 'residential_property': 1, 'shopping_mall': 26, 'restaurant': 5, 'hotel': 9, 'unknown': 30}",{'hotel': 28}
