rule_family,"official
primary","operator
primary","reported
detail","secondary/
context","identity/
external"
"public/open
acceptance",30,0,1,0,0
"commercial
positive",2,3,4,3,0
"conditional/
zoned",5,7,12,12,0
"restriction/
standard",2,28,1,0,4
"ambiguous/
unresolved",0,3,0,10,0
"governance
support",4,0,1,0,0
