host_type,rule_liminal_threshold_core,ecology_ready_rule_liminal_frontier,ecology_present_rule_silent,rule_exposed_low_ecology,restricted_or_negative_pressure,low_signal_unknown,share_rule_liminal_threshold_core,share_ecology_ready_rule_liminal_frontier,share_ecology_present_rule_silent,share_rule_exposed_low_ecology,share_restricted_or_negative_pressure,share_low_signal_unknown
residential_property,111,3133,15413,3675,264,10154,0.003389312977099237,0.09566412213740458,0.4706259541984733,0.11221374045801527,0.008061068702290076,0.31004580152671757
hotel,165,4801,5915,1293,155,4225,0.009967379485320768,0.29002053884257584,0.3573154524586203,0.07810801014860456,0.009363295880149813,0.2552253231847288
shopping_mall,748,3679,292,669,59,376,0.12845612227374206,0.6318049115576163,0.05014597286622016,0.11488923235445647,0.010132234243517087,0.06457152670444788
park_or_recreation,101,1289,185,123,10,1159,0.035228461806766656,0.44959888385071506,0.06452738053714685,0.042901988140913845,0.003487966515521451,0.40425531914893614
