Source class,Records,Share,Use in claim
A_official_primary,43,32.6%,Strong public-rule evidence
B_operator_primary,41,31.1%,Strong operator-rule evidence
C_reported_operator_detail,19,14.4%,Reported detail; cautious or sensitivity use
E_discovery_or_context,14,10.6%,Discovery context only
D_secondary_industry_media,11,8.3%,Secondary context or sensitivity
G_venue_identity_only,3,2.3%,Candidate identity only
F_external_context,1,0.8%,External context
