grid_id,district_name,topology_surface,weighted_topological_degree,pet_rule_pagerank,topology_ecology_class,pet_service_count_2025,positive_rule_count
SZ500_0030_0071,光明区,0.5730274063432423,8.088263544714518,0.0001104197154416,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0072,光明区,0.8463366117803073,8.604558267611177,0.0001158618403595,low_network_pet_rule_signal,1.0,0.0
SZ500_0030_0073,光明区,0.7290805613879987,8.266852045671522,0.0001111373460999,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0074,光明区,0.8184882307437287,8.560529961486083,0.0001139671696163,low_network_pet_rule_signal,1.0,0.0
SZ500_0030_0075,光明区,0.8613603713117471,8.778498581710325,0.0001161996238691,low_network_pet_rule_signal,1.0,0.0
SZ500_0030_0076,光明区,0.8080506133274394,8.510818371695562,0.0001135109297451,low_network_pet_rule_signal,1.0,0.0
SZ500_0030_0077,光明区,0.46886396286882537,8.08987400721059,0.0001094616401051,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0078,光明区,0.4161730577964416,8.014333939679283,0.0001092937212349,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0079,光明区,0.5125870261907393,8.067718600269005,0.000110094308068,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0080,光明区,0.7564261244336391,8.261039816386896,0.0001122636317151,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0081,光明区,0.4749143551773677,8.08004132699843,0.000109631975301,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0082,光明区,0.39728146756547683,8.070247327335167,0.0001081173879232,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0083,光明区,0.4023428003094265,8.218410961676287,0.0001066432562571,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0084,光明区,0.5306166427229528,8.889379828221148,0.0001090210715338,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0085,光明区,0.9294673444579512,10.282542224992168,0.0001194465136106,network_core_with_pet_ecology,1.0,0.0
SZ500_0030_0086,光明区,0.9190076251519506,10.23127497140532,0.0001180885166295,pet_ecology_peripheral_or_local,1.0,0.0
SZ500_0030_0087,光明区,0.6518676096806277,9.140471584660071,0.0001103213736202,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0088,光明区,0.41360923858989945,8.317909018006368,0.0001063540867794,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0089,光明区,0.3472372637860537,8.024899873711014,0.0001070570912213,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0090,光明区,0.4962730688473864,8.11067521020422,0.0001097457201771,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0091,光明区,0.5802713006962095,8.11067521020422,0.0001104153176524,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0092,光明区,0.6789424245773014,8.099030898907928,0.0001106518764375,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0093,光明区,0.3599900541496298,8.0,0.0001100338881296,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0094,光明区,0.4017460492872141,8.0,0.0001103396172489,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0095,光明区,0.4360868604265665,8.0,0.0001104815411773,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0096,光明区,0.5240054149629794,8.0,0.0001107998005197,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0097,宝安区,0.5696209525914466,8.0,0.0001125967400486,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0098,宝安区,0.6189136921206764,8.0,0.0001159043794604,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0099,宝安区,0.6692396949939221,8.0,0.0001227703869731,network_core_without_high_pet_ecology,0.0,0.0
SZ500_0030_0100,宝安区,0.05329041883081004,6.0,9.89380313393185e-05,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0102,宝安区,0.018880539286108965,4.0,8.518307410445344e-05,low_network_pet_rule_signal,0.0,0.0
SZ500_0030_0103,宝安区,0.0035639297159907176,3.0,6.873673948705036e-05,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0011,南山区,0.013775002762736216,4.0,7.653088676894584e-05,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0012,南山区,0.5298237374295502,7.0,0.0001188356526096,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0013,南山区,0.6750138136810697,8.0,0.0001240068628268,network_core_without_high_pet_ecology,0.0,0.0
SZ500_0031_0014,南山区,0.6285777433970605,8.0,0.0001167750680505,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0015,南山区,0.5646369764614875,8.0,0.0001123183321923,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0016,南山区,0.5228809813239033,8.0,0.0001107506947955,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0017,南山区,0.36120565808376615,8.0,0.0001100445001956,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0018,南山区,0.31300696209525913,8.0,0.0001094574184772,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0019,南山区,0.26420046413968395,8.0,0.000108523028977,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0020,南山区,0.23350646480274062,8.0,0.0001074939360406,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0021,南山区,0.22019560172394742,8.0,0.0001068326879273,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0022,南山区,0.21904077798651786,8.0,0.0001067484513108,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0023,南山区,0.33003094264559624,8.01287601055016,0.0001067178876566,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0024,南山区,0.369444137473754,8.093993454107036,0.0001063008435542,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0025,南山区,0.49012598077135594,8.566595186804848,0.0001085292323625,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0026,南山区,0.924792794783954,9.898374194492932,0.0001196327084481,network_core_with_pet_ecology,1.0,0.0
SZ500_0031_0027,南山区,0.9836059233064427,11.112755336738648,0.0001311951050569,network_core_with_pet_ecology,4.0,0.0
SZ500_0031_0028,南山区,0.4506243783843519,8.675788749915803,0.0001066818982881,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0029,南山区,0.37660514974030285,8.224020465331858,0.0001035675495153,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0030,南山区,0.3772571554867941,8.210100588667778,0.0001041985502326,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0031,南山区,0.38912587026190737,8.252421379074065,0.0001047484294883,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0032,南山区,0.3767432865510001,8.2020472857287,0.0001043312244448,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0033,南山区,0.3948668361144878,8.275648798995574,0.0001050325829579,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0034,宝安区,0.4007017349983424,8.318685983393854,0.000105002735651,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0035,宝安区,0.4631285224886728,8.679769784214843,0.0001073660745467,low_network_pet_rule_signal,1.0,0.0
SZ500_0031_0036,宝安区,0.4330644270085092,8.704691004494771,0.0001047851487888,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0037,宝安区,0.5095645927726821,9.351524763185576,0.000108074774618,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0038,宝安区,0.6086142115150845,9.80759098445552,0.0001097995941922,low_network_pet_rule_signal,1.0,0.0
SZ500_0031_0039,宝安区,0.46837219582274287,9.571832460212828,0.0001052606040654,low_network_pet_rule_signal,1.0,0.0
SZ500_0031_0040,宝安区,0.9395900099458505,11.310146805059947,0.0001193840050713,network_core_with_pet_ecology,2.0,0.0
SZ500_0031_0041,宝安区,0.9840976903525251,12.323471105920174,0.0001287816083835,network_core_with_pet_ecology,6.0,0.0
SZ500_0031_0042,宝安区,0.8213338490440933,10.120947002069425,0.0001114656796107,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0043,宝安区,0.48506464802740634,9.131515298997686,0.0001074398712964,low_network_pet_rule_signal,1.0,0.0
SZ500_0031_0044,宝安区,0.920941540501713,9.718360700561282,0.0001196245303957,network_core_without_high_pet_ecology,0.0,1.0
SZ500_0031_0045,宝安区,0.4065974140789037,8.2,0.0001071247330648,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0046,宝安区,0.24207647253840203,8.0,0.0001078447435206,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0047,宝安区,0.307354403801525,8.0,0.0001093717960156,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0048,宝安区,0.3686208420819981,8.0,0.0001101075945214,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0049,宝安区,0.4098298154492209,8.0,0.0001103844608665,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0050,宝安区,0.4342026743286551,8.0,0.0001104770966869,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0051,宝安区,0.4493369433086529,8.0,0.0001105037317487,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0052,宝安区,0.45346999668471655,8.0,0.0001105073283054,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0053,宝安区,0.45340921648800975,8.0,0.0001105073169475,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0054,宝安区,0.4426511216709029,8.0,0.0001104950266836,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0055,宝安区,0.4248425240358051,8.0,0.0001104486143341,low_network_pet_rule_signal,0.0,0.0
SZ500_0031_0056,宝安区,0.40204995027074814,8.0,0.0001103417126346,low_network_pet_rule_signal,0.0,0.0
