tag,present_in_geofabrik_free_gpkg,non_missing_count_after_shenzhen_clip,building_features_after_clip
height,no,0,81264
building:levels,no,0,81264
min_height,no,0,81264
roof:shape,no,0,81264
type,yes,81264,81264
