year,source_file,source_category,encoding,rows_scanned,candidate_rows,exclusion_rows,read_status,read_error
2016,深圳市2016/csv/深圳市2016购物服务.csv,购物服务,utf-8-sig,6965,155,0,ok,
2016,深圳市2016/csv/深圳市2016购物服务a.csv,购物服务a,utf-8-sig,141016,3197,26,ok,
2016,深圳市2016/csv/深圳市2016通行设施.csv,通行设施,utf-8-sig,11,0,0,ok,
2016,深圳市2016/csv/深圳市2016道路附属设施.csv,道路附属设施,utf-8-sig,161,0,0,ok,
2016,深圳市2016/csv/深圳市2016金融保险服务.csv,金融保险服务,utf-8-sig,14330,0,0,ok,
2016,深圳市2016/csv/深圳市2016风景名胜.csv,风景名胜,utf-8-sig,2776,27,2,ok,
2016,深圳市2016/csv/深圳市2016餐饮服务.csv,餐饮服务,utf-8-sig,4763,2,2,ok,
2017,深圳市2017/csv/2017事件活动.csv,事件活动,utf-8-sig,13,0,0,ok,
2017,深圳市2017/csv/2017交通设施服务.csv,交通设施服务,utf-8-sig,36465,1,0,ok,
2017,深圳市2017/csv/2017住宿服务.csv,住宿服务,utf-8-sig,12271,0,4,ok,
2017,深圳市2017/csv/2017体育休闲服务.csv,体育休闲服务,utf-8-sig,15058,1,5,ok,
2017,深圳市2017/csv/2017公共设施.csv,公共设施,utf-8-sig,4028,1,0,ok,
2017,深圳市2017/csv/2017公司企业.csv,公司企业,utf-8-sig,208390,53,20,ok,
2017,深圳市2017/csv/2017医疗保健服务.csv,医疗保健服务,utf-8-sig,19995,310,1,ok,
2017,深圳市2017/csv/2017商务住宅.csv,商务住宅,utf-8-sig,32951,0,1,ok,
2017,深圳市2017/csv/2017地名地址信息.csv,地名地址信息,utf-8-sig,116667,1,0,ok,
2017,深圳市2017/csv/2017室内设施.csv,室内设施,utf-8-sig,4247,0,0,ok,
2017,深圳市2017/csv/2017摩托车服务.csv,摩托车服务,utf-8-sig,232,0,0,ok,
2017,深圳市2017/csv/2017政府机构及社会团体.csv,政府机构及社会团体,utf-8-sig,13211,1,0,ok,
2017,深圳市2017/csv/2017汽车服务.csv,汽车服务,utf-8-sig,11069,1,0,ok,
2017,深圳市2017/csv/2017汽车维修.csv,汽车维修,utf-8-sig,4232,0,0,ok,
2017,深圳市2017/csv/2017生活服务.csv,生活服务,utf-8-sig,109711,7,24,ok,
2017,深圳市2017/csv/2017科教文化服务.csv,科教文化服务,utf-8-sig,20563,4,2,ok,
2017,深圳市2017/csv/2017购物服务.csv,购物服务,utf-8-sig,208297,4475,80,ok,
2017,深圳市2017/csv/2017购物服务_1.csv,购物服务_1,utf-8-sig,41319,729,6,ok,
2017,深圳市2017/csv/2017通行设施.csv,通行设施,utf-8-sig,26936,2,1,ok,
2017,深圳市2017/csv/2017道路附属设施.csv,道路附属设施,utf-8-sig,372,0,0,ok,
2017,深圳市2017/csv/2017金融保险服务.csv,金融保险服务,utf-8-sig,15926,0,1,ok,
2017,深圳市2017/csv/2017风景名胜.csv,风景名胜,utf-8-sig,2826,42,3,ok,
2017,深圳市2017/csv/2017餐饮服务.csv,餐饮服务,utf-8-sig,137807,13,164,ok,
2018,深圳市2018/csv/2018_事件活动.csv,事件活动,utf-8-sig,4,0,0,ok,
2018,深圳市2018/csv/2018_交通设施服务.csv,交通设施服务,utf-8-sig,39944,0,0,ok,
2018,深圳市2018/csv/2018_住宿服务.csv,住宿服务,utf-8-sig,17272,7,3,ok,
2018,深圳市2018/csv/2018_体育休闲服务.csv,体育休闲服务,utf-8-sig,15559,11,6,ok,
2018,深圳市2018/csv/2018_公共设施.csv,公共设施,utf-8-sig,6027,0,0,ok,
2018,深圳市2018/csv/2018_公司企业.csv,公司企业,utf-8-sig,149063,38,9,ok,
2018,深圳市2018/csv/2018_医疗保健服务.csv,医疗保健服务,utf-8-sig,22205,511,1,ok,
2018,深圳市2018/csv/2018_商务住宅.csv,商务住宅,utf-8-sig,36403,1,2,ok,
2018,深圳市2018/csv/2018_地名地址信息.csv,地名地址信息,utf-8-sig,126723,2,0,ok,
2018,深圳市2018/csv/2018_室内设施.csv,室内设施,utf-8-sig,15656,0,0,ok,
2018,深圳市2018/csv/2018_摩托车服务.csv,摩托车服务,utf-8-sig,223,0,0,ok,
2018,深圳市2018/csv/2018_政府机构及社会团体.csv,政府机构及社会团体,utf-8-sig,20554,1,1,ok,
2018,深圳市2018/csv/2018_汽车服务.csv,汽车服务,utf-8-sig,15118,0,0,ok,
2018,深圳市2018/csv/2018_汽车维修.csv,汽车维修,utf-8-sig,4156,0,0,ok,
2018,深圳市2018/csv/2018_汽车销售.csv,汽车销售,utf-8-sig,2855,0,3,ok,
2018,深圳市2018/csv/2018_生活服务.csv,生活服务,utf-8-sig,143721,132,56,ok,
2018,深圳市2018/csv/2018_科教文化服务.csv,科教文化服务,utf-8-sig,39222,9,3,ok,
2018,深圳市2018/csv/2018_购物服务.csv,购物服务,utf-8-sig,216827,3910,274,ok,
2018,深圳市2018/csv/2018_通行设施.csv,通行设施,utf-8-sig,44344,2,0,ok,
2018,深圳市2018/csv/2018_道路附属设施.csv,道路附属设施,utf-8-sig,644,0,0,ok,
2018,深圳市2018/csv/2018_金融保险服务.csv,金融保险服务,utf-8-sig,11417,0,0,ok,
2018,深圳市2018/csv/2018_风景名胜.csv,风景名胜,utf-8-sig,3126,32,0,ok,
2018,深圳市2018/csv/2018_餐饮服务.csv,餐饮服务,utf-8-sig,133462,61,70,ok,
2019,深圳市2019/csv/2019_事件活动.csv,事件活动,utf-8-sig,5,0,0,ok,
2019,深圳市2019/csv/2019_交通设施服务.csv,交通设施服务,utf-8-sig,34887,0,0,ok,
2019,深圳市2019/csv/2019_住宿服务.csv,住宿服务,utf-8-sig,15767,1,2,ok,
2019,深圳市2019/csv/2019_体育休闲服务.csv,体育休闲服务,utf-8-sig,18067,13,13,ok,
2019,深圳市2019/csv/2019_公共设施.csv,公共设施,utf-8-sig,4412,0,0,ok,
2019,深圳市2019/csv/2019_公司企业.csv,公司企业,utf-8-sig,144101,70,14,ok,
2019,深圳市2019/csv/2019_医疗保健服务.csv,医疗保健服务,utf-8-sig,23454,679,2,ok,
2019,深圳市2019/csv/2019_商务住宅.csv,商务住宅,utf-8-sig,28101,4,0,ok,
2019,深圳市2019/csv/2019_地名地址信息.csv,地名地址信息,utf-8-sig,123752,3,0,ok,
2019,深圳市2019/csv/2019_室内设施.csv,室内设施,utf-8-sig,47783,0,0,ok,
2019,深圳市2019/csv/2019_摩托车服务.csv,摩托车服务,utf-8-sig,207,0,0,ok,
2019,深圳市2019/csv/2019_政府机构及社会团体.csv,政府机构及社会团体,utf-8-sig,20910,0,0,ok,
2019,深圳市2019/csv/2019_汽车服务.csv,汽车服务,utf-8-sig,17375,0,14,ok,
2019,深圳市2019/csv/2019_汽车维修.csv,汽车维修,utf-8-sig,4549,0,0,ok,
2019,深圳市2019/csv/2019_汽车销售.csv,汽车销售,utf-8-sig,3394,0,1,ok,
2019,深圳市2019/csv/2019_生活服务.csv,生活服务,utf-8-sig,142370,136,64,ok,
2019,深圳市2019/csv/2019_科教文化服务.csv,科教文化服务,utf-8-sig,35005,13,8,ok,
2019,深圳市2019/csv/2019_购物服务.csv,购物服务,utf-8-sig,203869,5544,363,ok,
2019,深圳市2019/csv/2019_通行设施.csv,通行设施,utf-8-sig,40126,1,0,ok,
2019,深圳市2019/csv/2019_道路附属设施.csv,道路附属设施,utf-8-sig,260,0,0,ok,
2019,深圳市2019/csv/2019_金融保险服务.csv,金融保险服务,utf-8-sig,8125,0,0,ok,
2019,深圳市2019/csv/2019_风景名胜.csv,风景名胜,utf-8-sig,3637,29,3,ok,
2019,深圳市2019/csv/2019_餐饮服务.csv,餐饮服务,utf-8-sig,151782,92,113,ok,
2020,深圳市2020/csv/2020_事件活动.csv,事件活动,utf-8-sig,5,0,0,ok,
2020,深圳市2020/csv/2020_交通设施服务.csv,交通设施服务,utf-8-sig,35087,0,0,ok,
2020,深圳市2020/csv/2020_住宿服务.csv,住宿服务,utf-8-sig,16819,3,2,ok,
2020,深圳市2020/csv/2020_体育休闲服务.csv,体育休闲服务,utf-8-sig,18630,17,14,ok,
2020,深圳市2020/csv/2020_公共设施.csv,公共设施,utf-8-sig,4537,0,0,ok,
2020,深圳市2020/csv/2020_公司企业.csv,公司企业,utf-8-sig,141796,68,13,ok,
2020,深圳市2020/csv/2020_医疗保健服务.csv,医疗保健服务,utf-8-sig,24470,676,1,ok,
2020,深圳市2020/csv/2020_商务住宅.csv,商务住宅,utf-8-sig,29547,3,0,ok,
2020,深圳市2020/csv/2020_地名地址信息.csv,地名地址信息,utf-8-sig,137429,3,0,ok,
2020,深圳市2020/csv/2020_室内设施.csv,室内设施,utf-8-sig,64862,0,0,ok,
2020,深圳市2020/csv/2020_摩托车服务.csv,摩托车服务,utf-8-sig,210,0,0,ok,
2020,深圳市2020/csv/2020_政府机构及社会团体.csv,政府机构及社会团体,utf-8-sig,21435,0,0,ok,
2020,深圳市2020/csv/2020_汽车服务.csv,汽车服务,utf-8-sig,17977,0,14,ok,
2020,深圳市2020/csv/2020_汽车维修.csv,汽车维修,utf-8-sig,4736,0,1,ok,
2020,深圳市2020/csv/2020_汽车销售.csv,汽车销售,utf-8-sig,3523,0,1,ok,
2020,深圳市2020/csv/2020_生活服务.csv,生活服务,utf-8-sig,143650,135,62,ok,
2020,深圳市2020/csv/2020_科教文化服务.csv,科教文化服务,utf-8-sig,34570,14,7,ok,
2020,深圳市2020/csv/2020_购物服务.csv,购物服务,utf-8-sig,203058,5295,339,ok,
2020,深圳市2020/csv/2020_通行设施.csv,通行设施,utf-8-sig,39202,1,0,ok,
2020,深圳市2020/csv/2020_道路附属设施.csv,道路附属设施,utf-8-sig,257,0,0,ok,
2020,深圳市2020/csv/2020_金融保险服务.csv,金融保险服务,utf-8-sig,8426,0,0,ok,
2020,深圳市2020/csv/2020_风景名胜.csv,风景名胜,utf-8-sig,3498,26,3,ok,
2020,深圳市2020/csv/2020_餐饮服务.csv,餐饮服务,utf-8-sig,147763,84,111,ok,
2021,深圳市2021/csv/深圳市_事件活动_2021.csv,事件活动,utf-8-sig,5,0,0,ok,
2021,深圳市2021/csv/深圳市_交通设施服务_2021.csv,交通设施服务,utf-8-sig,35874,0,0,ok,
2021,深圳市2021/csv/深圳市_住宿服务_2021.csv,住宿服务,utf-8-sig,16330,0,2,ok,
2021,深圳市2021/csv/深圳市_体育休闲服务_2021.csv,体育休闲服务,utf-8-sig,18248,16,13,ok,
2021,深圳市2021/csv/深圳市_公共设施_2021.csv,公共设施,utf-8-sig,7773,0,0,ok,
2021,深圳市2021/csv/深圳市_公司企业_2021.csv,公司企业,utf-8-sig,142582,61,15,ok,
2021,深圳市2021/csv/深圳市_医疗保健服务_2021.csv,医疗保健服务,utf-8-sig,26714,694,1,ok,
2021,深圳市2021/csv/深圳市_商务住宅_2021.csv,商务住宅,utf-8-sig,29292,2,1,ok,
2021,深圳市2021/csv/深圳市_地名地址信息_2021.csv,地名地址信息,utf-8-sig,167644,1,0,ok,
2021,深圳市2021/csv/深圳市_室内设施_2021.csv,室内设施,utf-8-sig,66099,0,0,ok,
2021,深圳市2021/csv/深圳市_摩托车服务_2021.csv,摩托车服务,utf-8-sig,222,0,0,ok,
2021,深圳市2021/csv/深圳市_政府机构及社会团体_2021.csv,政府机构及社会团体,utf-8-sig,22201,0,0,ok,
2021,深圳市2021/csv/深圳市_汽车服务_2021.csv,汽车服务,utf-8-sig,18208,0,16,ok,
2021,深圳市2021/csv/深圳市_汽车维修_2021.csv,汽车维修,utf-8-sig,4707,0,1,ok,
2021,深圳市2021/csv/深圳市_汽车销售_2021.csv,汽车销售,utf-8-sig,3513,0,1,ok,
2021,深圳市2021/csv/深圳市_生活服务_2021.csv,生活服务,utf-8-sig,146563,129,64,ok,
2021,深圳市2021/csv/深圳市_科教文化服务_2021.csv,科教文化服务,utf-8-sig,33993,11,9,ok,
2021,深圳市2021/csv/深圳市_购物服务_2021.csv,购物服务,utf-8-sig,214410,5231,381,ok,
