year,in_shenzhen_bounds,missing_coordinate,outside_shenzhen_bounds,total,usable_share
2014,260,0,0,260,1.0
2015,452,0,0,452,1.0
2016,504,0,0,504,1.0
2017,602,0,0,602,1.0
2018,1186,0,0,1186,1.0
2019,2136,0,0,2136,1.0
2020,2121,0,0,2121,1.0
2021,2140,0,0,2140,1.0
2022,1526,0,0,1526,1.0
2023,2139,0,0,2139,1.0
2024,2172,0,0,2172,1.0
2025,1902,0,0,1902,1.0
