year,category,relative_path,size_bytes,encoding,read_status,read_error
2016,金融保险服务,深圳市2016/csv/深圳市2016金融保险服务.csv,2805920,utf-8-sig,ok,
2016,风景名胜,深圳市2016/csv/深圳市2016风景名胜.csv,421327,utf-8-sig,ok,
2016,餐饮服务,深圳市2016/csv/深圳市2016餐饮服务.csv,765341,utf-8-sig,ok,
2017,事件活动,深圳市2017/csv/2017事件活动.csv,3754,utf-8-sig,ok,
2017,交通设施服务,深圳市2017/csv/2017交通设施服务.csv,8780478,utf-8-sig,ok,
2017,住宿服务,深圳市2017/csv/2017住宿服务.csv,3079581,utf-8-sig,ok,
2017,体育休闲服务,深圳市2017/csv/2017体育休闲服务.csv,3675856,utf-8-sig,ok,
2017,公共设施,深圳市2017/csv/2017公共设施.csv,914819,utf-8-sig,ok,
2017,公司企业,深圳市2017/csv/2017公司企业.csv,49882893,utf-8-sig,ok,
2017,医疗保健服务,深圳市2017/csv/2017医疗保健服务.csv,5012319,utf-8-sig,ok,
2017,商务住宅,深圳市2017/csv/2017商务住宅.csv,7323955,utf-8-sig,ok,
2017,地名地址信息,深圳市2017/csv/2017地名地址信息.csv,24816017,utf-8-sig,ok,
2017,室内设施,深圳市2017/csv/2017室内设施.csv,1033086,utf-8-sig,ok,
2017,摩托车服务,深圳市2017/csv/2017摩托车服务.csv,57302,utf-8-sig,ok,
2017,政府机构及社会团体,深圳市2017/csv/2017政府机构及社会团体.csv,3561995,utf-8-sig,ok,
2017,汽车服务,深圳市2017/csv/2017汽车服务.csv,2822362,utf-8-sig,ok,
2017,汽车维修,深圳市2017/csv/2017汽车维修.csv,1065427,utf-8-sig,ok,
2017,生活服务,深圳市2017/csv/2017生活服务.csv,27184420,utf-8-sig,ok,
2017,科教文化服务,深圳市2017/csv/2017科教文化服务.csv,5119777,utf-8-sig,ok,
2017,购物服务,深圳市2017/csv/2017购物服务.csv,50624710,utf-8-sig,ok,
2017,购物服务_1,深圳市2017/csv/2017购物服务_1.csv,10044879,utf-8-sig,ok,
2017,通行设施,深圳市2017/csv/2017通行设施.csv,6183210,utf-8-sig,ok,
2017,道路附属设施,深圳市2017/csv/2017道路附属设施.csv,78993,utf-8-sig,ok,
2017,金融保险服务,深圳市2017/csv/2017金融保险服务.csv,4265894,utf-8-sig,ok,
2017,风景名胜,深圳市2017/csv/2017风景名胜.csv,646857,utf-8-sig,ok,
2017,餐饮服务,深圳市2017/csv/2017餐饮服务.csv,33024610,utf-8-sig,ok,
2018,事件活动,深圳市2018/csv/2018_事件活动.csv,1842,utf-8-sig,ok,
2018,交通设施服务,深圳市2018/csv/2018_交通设施服务.csv,15631920,utf-8-sig,ok,
2018,住宿服务,深圳市2018/csv/2018_住宿服务.csv,7054488,utf-8-sig,ok,
2018,体育休闲服务,深圳市2018/csv/2018_体育休闲服务.csv,6266051,utf-8-sig,ok,
