dedup_key,candidate_count
3e11c4a235c0597b,2
5d9c954942a67c3e,2
f222995046a5552a,2
3523a067d41689ab,2
6cdc80450ece6628,2
a1c1d12fc4d496e8,2
557a94b52357dcfc,2
82aff7e7b4579d0d,2
119fdeab036e541d,2
8bfdb74fe67e6f1d,2
e6d3f07365f271fa,2
8cd9a5d0890649e3,2
6db012fb7f8b2619,2
685520e4d3826500,2
c4ffb1870bee7465,2
5e0703cc697ea14e,2
4074a09781330380,2
717112a2c79c4237,2
e48cd161691b0ed0,2
a0e2692546b852a9,2
9387c459ee18b101,2
186f827faf326bde,2
6f9966fd61f64f80,2
27e1d842f1fc0bc8,2
4ad5182ed7ee9950,2
7addc6955ab55e61,2
5ed675f06a451654,2
d90ebacc42434f82,2
0f7415e99321e80b,2
ac16ff0fb14c1afc,2
96d15695fc900670,2
